1,New York[6], New York,8,537,673,8,175,133,+4.43%,301.5 sq mi,780.9 km2,28,317/sq mi,10,933/km2,40.6635°N 73.9387°W,
2,Los Angeles, California,3,976,322,3,792,621,+4.84%,468.7 sq mi,1,213.9 km2,8,484/sq mi,3,276/km2,34.0194°N 118.4108°W
3,Chicago, Illinois,2,704,958,2,695,598,+0.35%,227.3 sq mi,588.7 km2,11,900/sq mi,4,600/km2,41.8376°N 87.6818°W,
4,Houston[7], Texas,2,303,482,2,100,263,+9.68%,637.5 sq mi,1,651.1 km2,3,613/sq mi,1,395/km2,29.7866°N 95.3909°W
5,Phoenix, Arizona,1,615,17,1,445,632,+11.72%,517.6 sq mi,1,340.6 km2,3,120/sq mi,1,200/km2,33.5722°N 112.0901°W
6,Philadelphia[8], Pennsylvania,1,567,872,1,526,6,+2.74%,134.2 sq mi,347.6 km2,11,683/sq mi,4,511/km2,40.0094°N 75.1333°W,
7,San Antonio, Texas,1,492,510,1,327,407,+12.44%,461.0 sq mi,1,194.0 km2,3,238/sq mi,1,250/km2,29.4724°N 98.5251°W
8,San Diego, California,1,406,630,1,307,402,+7.59%,325.2 sq mi,842.3 km2,4,325/sq mi,1,670/km2,32.8153°N 117.1350°W,
9,Dallas, Texas,1,317,929,1,197,816,+10.03%,340.9 sq mi,882.9 km2,3,866/sq mi,1,493/km2,32.7933°N 96.7665°W,
10,San Jose, California,1,25,350,945,942,+8.39%,177.5 sq mi,459.7 km2,5,777/sq mi,2,231/km2,37.2967°N 121.8189°W,,
11,Austin, Texas,947,890,790,390,+19.93%,312.7 sq mi,809.9 km2,3,031/sq mi,1,170/km2,30.3039°N 97.7544°W,,,
12,Jacksonville[9], Florida,880,619,821,784,+7.16%,747.4 sq mi,1,935.8 km2,1,178/sq mi,455/km2,30.3369°N 81.6616°W,,,
13,San Francisco[10], California,870,887,805,235,+8.15%,46.9 sq mi,121.5 km2,18,569/sq mi,7,170/km2,37.7272°N 123.0322°W,,,
14,Columbus, Ohio,860,90,787,33,+9.28%,218.5 sq mi,565.9 km2,3,936/sq mi,1,520/km2,39.9852°N 82.9848°W,,,
15,Indianapolis[11], Indiana,855,164,820,445,+4.23%,361.5 sq mi,936.3 km2,2,366/sq mi,914/km2,39.7767°N 86.1459°W,,,,
16,Fort Worth, Texas,854,113,741,206,+15.23%,342.9 sq mi,888.1 km2,2,491/sq mi,962/km2,32.7815°N 97.3467°W,,,,
17,Charlotte, North Carolina,842,51,731,424,+15.12%,305.4 sq mi,791.0 km2,2,757/sq mi,1,064/km2,35.2078°N 80.8310°W,,,
18,Seattle, Washington,704,352,608,660,+15.72%,83.8 sq mi,217.0 km2,8,405/sq mi,3,245/km2,47.6205°N 122.3509°W,,,
19,Denver[12], Colorado,693,60,600,158,+15.48%,153.3 sq mi,397.0 km2,4,521/sq mi,1,746/km2,39.7619°N 104.8811°W,,,
20,El Paso, Texas,683,80,649,121,+5.23%,256.8 sq mi,665.1 km2,2,660/sq mi,1,030/km2,31.8484°N 106.4270°W,,,
21,Washington[13], District of Columbia,681,170,601,723,+13.20%,61.1 sq mi,158.2 km2,11,148/sq mi,4,304/km2,38.9041°N 77.0172°W,,,
22,Boston, Massachusetts,673,184,617,594,+9.00%,48.3 sq mi,125.1 km2,13,938/sq mi,5,381/km2,42.3320°N 71.0202°W,,,
23,Detroit, Michigan,672,795,713,777,−5.74%,138.8 sq mi,359.5 km2,4,847/sq mi,1,871/km2,42.3830°N 83.1022°W,,,
24,Nashville[14], Tennessee,660,388,601,222,+9.84%,475.9 sq mi,1,232.6 km2,1,388/sq mi,536/km2,36.1718°N 86.7850°W,,,
25,Memphis, Tennessee,652,717,646,889,+0.90%,317.4 sq mi,822.1 km2,2,056/sq mi,794/km2,35.1028°N 89.9774°W,,,,
26,Portland, Oregon,639,863,583,776,+9.61%,133.5 sq mi,345.8 km2,4,793/sq mi,1,851/km2,45.5370°N 122.6500°W,,,
27,Oklahoma City, Oklahoma,638,367,579,999,+10.06%,606.3 sq mi,1,570.3 km2,1,053/sq mi,407/km2,35.4671°N 97.5137°W,,,
28,Las Vegas, Nevada,632,912,583,756,+8.42%,134.4 sq mi,348.1 km2,4,709/sq mi,1,818/km2,36.2292°N 115.2601°W,,,
29,Louisville[15], Kentucky,616,261,597,337,+3.17%,263.5 sq mi,682.5 km2,2,339/sq mi,903/km2,38.1654°N 85.6474°W,,,,
30,Baltimore[16], Maryland,614,664,620,961,−1.01%,80.9 sq mi,209.5 km2,7,598/sq mi,2,934/km2,39.3000°N 76.6105°W,,,
31,Milwaukee, Wisconsin,595,47,594,833,+0.04%,96.2 sq mi,249.2 km2,6,186/sq mi,2,388/km2,43.0633°N 87.9667°W,,,
32,Albuquerque, New Mexico,559,277,545,852,+2.46%,188.2 sq mi,487.4 km2,2,972/sq mi,1,147/km2,35.1056°N 106.6474°W,,,
